fmin ftmp tmpMSE tmpSCC time
7.82712 7.82712 0.181262 0.974922 188
7.82712 7.82712 0.181262 0.974922 190
7.82712 7.82712 0.181262 0.974922 190
7.82712 7.82712 0.181262 0.974922 191
2.03142 2.03142 0.0544174 0.992458 491
2.03142 2.03143 0.0544174 0.992458 494
2.03142 2.03143 0.0544174 0.992458 494
2.03142 2.03143 0.0544174 0.992458 494
1.91565 1.91565 0.0511651 0.992909 807
1.91565 1.91565 0.0511651 0.992909 808
1.91565 1.91565 0.0511651 0.992909 809
1.91565 1.91586 0.0511651 0.992909 810
1.91565 1.91565 0.0511651 0.992909 1146
1.91565 1.91565 0.0511651 0.992909 1152
1.91565 1.91565 0.0511651 0.992909 1169
1.91565 1.91565 0.0511651 0.992909 1179
1.91565 1.91565 0.0511651 0.992909 1457
1.91565 1.91565 0.0511651 0.992909 1508
1.91565 1.91565 0.0511651 0.992909 1526
1.91565 1.91565 0.0511651 0.992909 1535
1.91565 1.91565 0.0511651 0.992909 1768
1.91565 1.91565 0.0511651 0.992909 1840
1.91565 1.91565 0.0511651 0.992909 1900
1.91565 1.91565 0.0511651 0.992909 1914
1.91565 1.91565 0.0511651 0.992909 2162
1.91565 1.91565 0.0511651 0.992909 2192
1.91565 1.91565 0.0511651 0.992909 2238
1.91565 1.91565 0.0511651 0.992909 2290
1.91565 1.91565 0.0511651 0.992909 2496
1.91565 1.91565 0.0511651 0.992909 2516
1.91565 1.91565 0.0511651 0.992909 2534
1.91565 1.91565 0.0511651 0.992909 2668
1.91565 1.91565 0.0511651 0.992909 2851
1.91565 1.91565 0.0511651 0.992909 2876
1.91565 1.91565 0.0511651 0.992909 2897
1.91565 1.91565 0.0511651 0.992909 2973
1.91565 1.91565 0.0511651 0.992909 3172
1.91565 1.91565 0.0511651 0.992909 3219
1.91565 1.91565 0.0511651 0.992909 3260
1.91565 1.91565 0.0511651 0.992909 3325
1.91565 1.91565 0.0511651 0.992909 3557
1.91565 1.91565 0.0511651 0.992909 3594
1.91565 1.91565 0.0511651 0.992909 3638
1.91565 1.91565 0.0511651 0.992909 3638
1.91565 1.91565 0.0511651 0.992909 3866
1.91565 1.91565 0.0511651 0.992909 3916
1.91565 1.91565 0.0511651 0.992909 4010
1.91565 1.91565 0.0511651 0.992909 4054
1.91565 1.91565 0.0511651 0.992909 4171
1.91565 1.91565 0.0511651 0.992909 4246
