fmin ftmp tmpMSE tmpSCC time
1.96467 1.96467 0.0520294 0.992789 177
1.96467 1.96467 0.0520294 0.992789 178
1.96467 1.96467 0.0520294 0.992789 178
1.96467 1.96467 0.0520294 0.992789 180
1.91697 1.91697 0.0511929 0.992905 435
1.91697 1.91697 0.0511929 0.992905 436
1.91697 1.91963 0.0511929 0.992905 438
1.91697 1.91715 0.0511929 0.992905 439
1.91565 1.91565 0.0511651 0.992909 745
1.91565 1.91565 0.0511651 0.992909 746
1.91565 1.91565 0.0511651 0.992909 746
1.91565 1.91565 0.0511651 0.992909 748
1.91565 1.91565 0.0511651 0.992909 1032
1.91565 1.91565 0.0511651 0.992909 1066
1.91565 1.91565 0.0511651 0.992909 1118
1.91565 1.91565 0.0511651 0.992909 1131
1.91565 1.91565 0.0511651 0.992909 1416
1.91565 1.91565 0.0511651 0.992909 1438
1.91565 1.91565 0.0511651 0.992909 1445
1.91565 1.91565 0.0511651 0.992909 1448
1.91565 1.91565 0.0511651 0.992909 1766
1.91565 1.91565 0.0511651 0.992909 1797
1.91565 1.91565 0.0511651 0.992909 1805
1.91565 1.91565 0.0511651 0.992909 1835
1.91565 1.91565 0.0511651 0.992909 2097
1.91565 1.91565 0.0511651 0.992909 2142
1.91565 1.91565 0.0511651 0.992909 2162
1.91565 1.91565 0.0511651 0.992909 2202
1.91565 1.91565 0.0511651 0.992909 2476
1.91565 1.91565 0.0511651 0.992909 2503
1.91565 1.91565 0.0511651 0.992909 2541
1.91565 1.91565 0.0511651 0.992909 2603
1.91565 1.91565 0.0511651 0.992909 2830
1.91565 1.91565 0.0511651 0.992909 2867
1.91565 1.91565 0.0511651 0.992909 2964
1.91565 1.91565 0.0511651 0.992909 3013
1.91565 1.91565 0.0511651 0.992909 3187
1.91565 1.91565 0.0511651 0.992909 3217
1.91565 1.91565 0.0511651 0.992909 3291
1.91565 1.91565 0.0511651 0.992909 3408
1.91565 1.91565 0.0511651 0.992909 3538
1.91565 1.91565 0.0511651 0.992909 3643
1.91565 1.91565 0.0511651 0.992909 3681
1.91565 1.91565 0.0511651 0.992909 3857
1.91565 1.91565 0.0511651 0.992909 3902
1.91565 1.91565 0.0511651 0.992909 4006
1.91565 1.91565 0.0511651 0.992909 4028
1.91565 1.91565 0.0511651 0.992909 4142
1.91565 1.91565 0.0511651 0.992909 4216
1.91565 1.91565 0.0511651 0.992909 4243
